"PassengerId","Survived","Pclass","Sex","NameTitle","NameTitle2","Age","SibSp","Parch","Total","ParTog","ChiTog","SibTog","Role","Ticket","Fare","Embarked"
1,"D","C","male","Mr.","Mr.",22,1,0,2,"N","N","Y","N","A/5 21171",7.25,"S"
2,"S","A","female","Mrs.","Mrs.",38,1,0,2,"N","N","Y","N","PC 17599",71.2833,"C"
3,"S","C","female","Miss.","Miss.",26,0,0,1,"N","N","N","N","STON/O2. 3101282",7.925,"S"
4,"S","A","female","Mrs.","Mrs.",35,1,0,2,"N","N","Y","N","113803",53.1,"S"
5,"D","C","male","Mr.","Mr.",35,0,0,1,"N","N","N","N","373450",8.05,"S"
6,"D","C","male","Mr.","Mr.",37,0,0,1,"N","N","N","N","330877",8.4583,"Q"
7,"D","A","male","Mr.","Mr.",54,0,0,1,"N","N","N","N","17463",51.8625,"S"
8,"D","C","male","Master.","Master.",2,3,1,5,"Y","N","Y","C","349909",21.075,"S"
9,"S","C","female","Mrs.","Mrs.",27,0,2,3,"N","Y","N","P","347742",11.1333,"S"
10,"S","B","female","Mrs.","Mrs.",14,1,0,2,"N","N","Y","N","237736",30.0708,"C"
11,"S","C","female","Miss.","Miss.",4,1,1,3,"Y","N","Y","C","PP 9549",16.7,"S"
12,"S","A","female","Miss.","Miss.",58,0,0,1,"N","N","N","N","113783",26.55,"S"
13,"D","C","male","Mr.","Mr.",20,0,0,1,"N","N","N","N","A/5. 2151",8.05,"S"
14,"D","C","male","Mr.","Mr.",39,1,5,7,"N","Y","Y","P","347082",31.275,"S"
15,"D","C","female","Miss.","Miss.",14,0,0,1,"N","N","N","N","350406",7.8542,"S"
16,"S","B","female","Mrs.","Mrs.",55,0,0,1,"N","N","N","N","248706",16,"S"
17,"D","C","male","Master.","Master.",2,4,1,6,"Y","N","Y","C","382652",29.125,"Q"
18,"S","B","male","Mr.","Mr.",31,0,0,1,"N","N","N","N","244373",13,"S"
19,"D","C","female","Mrs.","Mrs.",31,1,0,2,"N","N","Y","N","345763",18,"S"
20,"S","C","female","Mrs.","Mrs.",26,0,0,1,"N","N","N","N","2649",7.225,"C"
21,"D","B","male","Mr.","Mr.",35,0,0,1,"N","N","N","N","239865",26,"S"
22,"S","B","male","Mr.","Mr.",34,0,0,1,"N","N","N","N","248698",13,"S"
23,"S","C","female","Miss.","Miss.",15,0,0,1,"N","N","N","N","330923",8.0292,"Q"
24,"S","A","male","Mr.","Mr.",28,0,0,1,"N","N","N","N","113788",35.5,"S"
25,"D","C","female","Miss.","Miss.",8,3,1,5,"Y","N","Y","C","349909",21.075,"S"
26,"S","C","female","Mrs.","Mrs.",38,1,5,7,"N","Y","Y","P","347077",31.3875,"S"
27,"D","C","male","Mr.","Mr.",25,0,0,1,"N","N","N","N","2631",7.225,"C"
28,"D","A","male","Mr.","Mr.",19,3,2,6,"Y","N","Y","C","19950",263,"S"
