PassengerId,Survived,Is_Pred,FamilyRole,Ticket,Age,Pclass,Sex,NameTitle,Total,TicketType
367,1,Actual,Wif.,110813,60,1,female,Mrs.,2,1
1128,0,Predict,Hus.,110813,64,1,male,Mr.,2,1
1260,1,Predict,Mother,112378,45,1,female,Mrs.,2,1
1294,1,Predict,Dau.,112378,22,1,female,Miss.,2,1
1197,1,Predict,Mother,112901,64,1,female,Mrs.,3,1
378,0,Actual,Son,113503,27,1,male,Mr.,3,1
1110,1,Predict,Mother,113503,50,1,female,Mrs.,3,1
1299,0,Predict,Father,113503,50,1,male,Mr.,3,1
55,0,Actual,Father,113509,65,1,male,Mr.,2,1
918,1,Predict,Dau.,113509,22,1,female,Miss.,2,1
749,0,Actual,Hus.,113773,19,1,male,Mr.,2,1
1074,1,Predict,Wif.,113773,18,1,female,Mrs.,2,1
298,0,Actual,Dau.,113781,2,1,female,Miss.,4,1
306,1,Actual,Son,113781,1,1,male,Master.,4,1
499,0,Actual,Mother,113781,25,1,female,Mrs.,4,1
1198,0,Predict,Father,113781,30,1,male,Mr.,4,1
622,1,Actual,Hus.,11753,42,1,male,Mr.,2,1
936,1,Predict,Wif.,11753,45,1,female,Mrs.,2,1
371,1,Actual,Hus.,11765,25,1,male,Mr.,2,1
1256,1,Predict,Wif.,11765,25,1,female,Mrs.,2,1
880,1,Actual,Mother,11767,56,1,female,Mrs.,2,1
1042,1,Predict,Dau.,11767,23,1,female,Mrs.,2,1
572,1,Actual,Sib.,11769,53,1,female,Mrs.,3,1
1248,1,Predict,Sib.,11769,59,1,female,Mrs.,3,1
969,1,Predict,Sib.,11770,55,1,female,Mrs.,3,1
992,1,Predict,Wif.,11778,43,1,female,Mrs.,2,1
1069,0,Predict,Hus.,11778,54,1,male,Mr.,2,1
821,1,Actual,Mother,12749,52,1,female,Mrs.,3,1
1200,0,Predict,Father,12749,55,1,male,Mr.,3,1
926,1,Predict,Hus.,13236,30,1,male,Mr.,2,1
1014,1,Predict,Wif.,13236,35,1,female,Mrs.,2,1
1144,0,Predict,Hus.,13508,27,1,male,Mr.,2,1
1164,1,Predict,Wif.,13508,26,1,female,Mrs.,2,1
588,1,Actual,Father,13567,60,1,male,Mr.,3,1
1289,1,Predict,Mother,13567,48,1,female,Mrs.,3,1
942,1,Predict,Hus.,13695,24,1,male,Mr.,2,1
1287,1,Predict,Wif.,13695,18,1,female,Mrs.,2,1
320,1,Actual,Mother,16966,40,1,female,Mrs.,3,1
1088,1,Predict,Son,16966,6,1,male,Master.,3,1
1134,0,Predict,Father,16966,45,1,male,Mr.,3,1
458,1,Actual,Wif.,17464,40,1,female,Mrs.,2,1
1137,0,Predict,Hus.,17464,41,1,male,Mr.,2,1
1296,0,Predict,Sib.,17765,43,1,male,Mr.,2,1
742,0,Actual,Hus.,19877,36,1,male,Mr.,2,1
988,1,Predict,Wif.,19877,76,1,female,Mrs.,2,1
246,0,Actual,Hus.,19928,44,1,male,Mr.,3,1
413,1,Actual,Sib.,19928,33,1,female,Miss.,2,1
1303,1,Predict,Wif.,19928,37,1,female,Mrs.,2,1
28,0,Actual,Son,19950,19,1,male,Mr.,6,1
89,1,Actual,Dau.,19950,23,1,female,Miss.,6,1
342,1,Actual,Dau.,19950,24,1,female,Miss.,6,1
439,0,Actual,Father,19950,64,1,male,Mr.,6,1
945,1,Predict,Dau.,19950,28,1,female,Miss.,6,1
961,1,Predict,Mother,19950,60,1,female,Mrs.,6,1
427,1,Actual,Wif.,2003,28,2,female,Mrs.,2,2
1220,0,Predict,Hus.,2003,29,2,male,Mr.,2,2
904,1,Predict,Wif.,21228,23,1,female,Mrs.,2,2
1179,0,Predict,Hus.,21228,24,1,male,Mr.,2,2
616,1,Actual,Dau.,220845,24,2,female,Miss.,4,2
755,1,Actual,Mother,220845,48,2,female,Mrs.,4,2
1245,0,Predict,Father,220845,49,2,male,Mr.,4,2
1277,1,Predict,Dau.,220845,24,2,female,Miss.,4,2
519,1,Actual,Wif.,226875,36,2,female,Mrs.,2,2
1082,0,Predict,Hus.,226875,34,2,male,Mr.,2,2
134,1,Actual,Wif.,228414,29,2,female,Mrs.,2,2
993,0,Predict,Hus.,228414,27,2,male,Mr.,2,2
184,1,Actual,Son,230136,1,2,male,Master.,4,2
619,1,Actual,Dau.,230136,4,2,female,Miss.,4,2
1070,1,Predict,Mother,230136,36,2,female,Mrs.,4,2
1218,1,Predict,Dau.,230136,12,2,female,Miss.,4,2
729,0,Actual,Hus.,236853,25,2,male,Mr.,2,2
1167,1,Predict,Wif.,236853,20,2,female,Miss.,2,2
581,1,Actual,Dau.,237789,25,2,female,Miss.,3,2
1133,1,Predict,Mother,237789,45,2,female,Mrs.,3,2
905,0,Predict,Hus.,24065,63,2,male,Mr.,2,2
1105,1,Predict,Wif.,24065,60,2,female,Mrs.,2,2
690,1,Actual,Dau.,24160,15,1,female,Miss.,2,2
780,1,Actual,Mother,24160,43,1,female,Mrs.,2,2
79,1,Actual,Son,248738,1,2,male,Master.,3,2
324,1,Actual,Mother,248738,22,2,female,Mrs.,3,2
899,1,Predict,Father,248738,26,2,male,Mr.,3,2
1130,1,Predict,Dau.,250650,18,2,female,Miss.,3,2
1025,0,Predict,Father,2621,35,3,male,Mr.,2,2
804,1,Actual,Son,2625,1,3,male,Master.,2,2
996,1,Predict,Mother,2625,16,3,female,Mrs.,3,2
507,1,Actual,Mother,26360,33,2,female,Mrs.,3,2
531,1,Actual,Dau.,26360,2,2,female,Miss.,3,2
1095,1,Predict,Dau.,26360,8,2,female,Miss.,3,2
256,1,Actual,Mother,2650,29,3,female,Mrs.,3,2
1053,1,Predict,Son,2650,7,3,male,Master.,3,2
1175,1,Predict,Dau.,2650,9,3,female,Miss.,3,2
382,1,Actual,Dau.,2653,1,3,female,Miss.,3,2
623,1,Actual,Father,2653,20,3,male,Mr.,3,2
1225,1,Predict,Mother,2653,19,3,female,Mrs.,3,2
977,0,Predict,Hus.,2660,29,3,male,Mr.,2,2
1141,1,Predict,Wif.,2660,28,3,female,Mrs.,2,2
66,1,Actual,Son,2661,5,3,male,Master.,3,2
710,1,Actual,Son,2661,5,3,male,Master.,3,2
1117,1,Predict,Mother,2661,34,3,female,Mrs.,3,2
49,0,Actual,Sib.,2662,28,3,male,Mr.,3,2
921,0,Predict,Sib.,2662,28,3,male,Mr.,3,2
1189,0,Predict,Sib.,2662,28,3,male,Mr.,3,2
129,1,Actual,Dau.,2668,8,3,female,Miss.,3,2
534,1,Actual,Mother,2668,34,3,female,Mrs.,3,2
1309,1,Predict,Son,2668,5,3,male,Master.,3,2
237,0,Actual,Hus.,26707,44,2,male,Mr.,2,2
1140,1,Predict,Wif.,26707,29,2,female,Mrs.,2,2
1229,0,Predict,Father,2675,39,3,male,Mr.,3,2
141,0,Actual,Mother,2678,34,3,female,Mrs.,3,2
853,0,Actual,Dau.,2678,9,3,female,Miss.,3,2
972,0,Predict,Son,2678,6,3,male,Master.,3,2
74,0,Actual,Sib.,2680,26,3,male,Mr.,2,2
1007,0,Predict,Sib.,2680,18,3,male,Mr.,2,2
579,0,Actual,Wif.,2689,28,3,female,Mrs.,2,2
1258,0,Predict,Hus.,2689,29,3,male,Mr.,2,2
1262,0,Predict,Sib.,28133,21,2,male,Mr.,2,2
417,1,Actual,Mother,28220,34,2,female,Mrs.,3,2
1086,1,Predict,Dau.,28220,8,2,male,Master.,3,2
1139,0,Predict,Father,28220,42,2,male,Mr.,3,2
406,0,Actual,Sib.,28664,34,2,male,Mr.,2,2
1293,0,Predict,Sib.,28664,38,2,male,Mr.,2,2
1298,0,Predict,Sib.,28666,23,2,male,Mr.,2,2
751,1,Actual,Dau.,29103,4,2,female,Miss.,3,2
981,1,Predict,Son,29103,2,2,male,Master.,3,2
1154,1,Predict,Mother,29103,29,2,female,Mrs.,3,2
775,1,Actual,Mother,29105,54,2,female,Mrs.,5,2
