Hub State Indicator,Rowid Object,Prop Nm,Prop Area,Rjct Rsn Txt,Reject Record Status,MDM_PROP_ID,Src Geo Loc Typ,Geo Lat,Geo Long,Prim Ind,Conf Wght,Addr Line1,City Nm,County Id,State Prov Id,Postal Code,Country Id,Country Iso2,Country Iso3,Country Iso3 Id,Addr Status,Adr Mail Scr
1,4480088,Sunlon Lanhai Center,,"Addr_Line_1 Not In Standard Format -- Source Property Name: Sunlon Lanhai Center, Source Complete Address: Dongbeiwang South Road 29 Tower C; Beijing; China|Addr_Line_1 Not In Standard Format -- Source Property Name: 首农蓝海中心, Source Complete Address: 东北旺南路29号C座; 北京; 中国",Ready For Review,T4480088,,,,,,Tower C,Beijing,,Beijing,100089,China,CN,CHN,156,INVALID,2
1,4480089,Longyuan Culture Creative Park,,"Address_Line1 is null;Addr_Line_1 Not In Standard Format -- Source Property Name: 龙源文化创意园, Source Complete Address: 北京; 中国",Ready For Review,T4480089,,,,,,99 Jianguo Road,Beijing,,Beijing,100020,China,CN,CHN,156,INVALID,3
1,4480090,Bright China Chang an Building Tower 2,,"Addr_Line_1 Not In Standard Format -- Source Property Name: Bright China Chang an Building Tower 2, Source Complete Address: Jianguomennei Avenue No 7; Beijing; China",Ready For Review,T4480090,,,,,,Jianguomennei Avenue No 7,Beijing,,Beijing,100010,China,CN,CHN,156,INVALID,2
1,4480091,Starcrest Corporate Plaza,,"Addr_Line_1 Not In Standard Format -- Source Property Name: 星峰企业园, Source Complete Address: 盛夏路500弄; 上海; 中国",Ready For Review,T4480091,,,,,,500 Shengxia Road,Shanghai,,Shanghai,201210,China,CN,CHN,156,INVALID,3
1,4480092,Beijing International Plaza Tower D,,"Addr_Line_1 Not In Standard Format -- Source Property Name: Beijing International Plaza Tower D, Source Complete Address: Zhongguancun South Avenue 18; Beijing; China",Ready For Review,T4480092,,,,,,Zhongguancun South Avenue 18,Beijing,,Beijing,100089,China,CN,CHN,156,INVALID,2
1,4480093,Huitong Building,,"Address_Line1 contains ""and"";Addr_Line_1 Not In Standard Format -- Source Property Name: Huitong Building, Source Complete Address: Intersection of Shennan Avenue and Xiangmihu Road.; Shenzhen; China|Addr_Line_1 Not In Standard Format -- Source Property Name: 地铁汇通大厦, Source Complete Address: 深南大道与香蜜湖路交汇处西南角; 深圳; 中国",Ready For Review,T4480093,,,,,,Intersection of Shennan Avenue And Xiangmihu Road,Shenzhen,,Guangdong,518000,China,CN,CHN,156,INVALID,2
1,4480094,oriental Plaza West Tower Phase 1,,"Addr_Line_1 Not In Standard Format -- Source Property Name: oriental Plaza West Tower Phase 1, Source Complete Address: 1 East Chang'an Avenue; Beijing; China",Ready For Review,T4480094,,,,,,Avenue,Beijing,,Beijing,100010,China,CN,CHN,156,VALID,4
1,4480095,Henderson Centre Tower 2,,"Addr_Line_1 Not In Standard Format -- Source Property Name: Henderson Centre Tower 2, Source Complete Address: Jianguomennei Avenue 18; Beijing; China",Ready For Review,T4480095,,,,,,Jianguomennei Avenue 18,Beijing,,Beijing,100010,China,CN,CHN,156,INVALID,2
1,4480096,Metro Building,,"Address_Line1 contains ""and"";Addr_Line_1 Not In Standard Format -- Source Property Name: Metro Building, Source Complete Address: Intersection of Jintian Road and Fuzhong Yi Road; Shenzhen; China|Addr_Line_1 Not In Standard Format -- Source Property Name: 地铁大厦, Source Complete Address: 金田路与福中一路交汇处; 深圳; 中国",Ready For Review,T4480096,,,,,,Intersection of Jintian Road And Fuzhong Yi Road,Shenzhen,,Guangdong,518000,China,CN,CHN,156,INVALID,2
1,4480097,Hui Tong Office Park,,"Address_Line1 is null;Addr_Line_1 Not In Standard Format -- Source Property Name: , Source Complete Address: 北京; 中国",Ready For Review,T4480097,,,,,,71 Jianguo Road,Beijing,,Beijing,100020,China,CN,CHN,156,INVALID,2
1,4480098,Shanda Tiandi,,"Addr_Line_1 Not In Standard Format -- Source Property Name: 盛大天地源创谷, Source Complete Address: 华夏中路958弄; 上海; 中国",Ready For Review,T4480098,,,,,,Lane 959 Huaxia Middle Road,Shanghai,,Shanghai,200120,China,CN,CHN,156,INVALID,2
1,4480099,Great Rock Mansion,,"Addr_Line_1 Not In Standard Format -- Source Property Name: Great Rock Mansion, Source Complete Address: 13 Xin Zhong Xi Li; Beijing; China",Ready For Review,T4480099,,,,,,13 Xin Zhong XI LI,Beijing,,Beijing,100010,China,CN,CHN,156,INVALID,2
1,4480100,Sino Life Building,,"Address_Line1 contains ""and"";Addr_Line_1 Not In Standard Format -- Source Property Name: Sino Life Building, Source Complete Address: intersection of Jintian Rd and Fuzhong 1 rd; Shenzhen; China|Addr_Line_1 Not In Standard Format -- Source Property Name: 富德生命保险大厦, Source Complete Address: 深圳市中心区金田路与福中一路交汇处; 深圳; 中国",Ready For Review,T4480100,,,,,,Intersection of Jintian Road And Fuzhong 1 Road,Shenzhen,,Guangdong,518000,China,CN,CHN,156,INVALID,2
1,4480101,Haowei Building,,"Address_Line1 is null;Addr_Line_1 Not In Standard Format -- Source Property Name: , Source Complete Address: 北京; 中国",Ready For Review,T4480101,,,,,,25 Beitaipingzhuang Road,Beijing,,Beijing,100089,China,CN,CHN,156,INVALID,2
1,4480102,X2 Expo,,"Address_Line1 is null;Addr_Line_1 Not In Standard Format -- Source Property Name: , Source Complete Address: 上海; 中国",Ready For Review,T4480102,,,,,,388 Bansongyuan Road,Shanghai,,Shanghai,200011,China,CN,CHN,156,INVALID,3
1,4480103,Damei Central Plaza Tower 3,,"Addr_Line_1 Not In Standard Format -- Source Property Name: Damei Central Plaza Tower 3, Source Complete Address: Yaojiayuan A 118; Beijing; China|Addr_Line_1 Not In Standard Format -- Source Property Name: 达美中心广场3座, Source Complete Address: 姚家园甲118号; 北京; 中国",Ready For Review,T4480103,,,,,,Yaojiayuan a 118,Beijing,,Beijing,100020,China,CN,CHN,156,INVALID,2
1,4480104,Tiley Central Plaza Phase 1,,"Address_Line1 contains ""and"";Addr_Line_1 Not In Standard Format -- Source Property Name: Tiley Central Plaza Phase 1, Source Complete Address: Intersection of Haide San Road and Houhai Road; Shenzhen; China|Addr_Line_1 Not In Standard Format -- Source Property Name: 天利中央广场1期, Source Complete Address: 海德三路与后海大道交汇处; 深圳; 中国",Ready For Review,T4480104,,,,,,Intersection of Haide San Road And Houhai Road,Shenzhen,,Guangdong,518000,China,CN,CHN,156,INVALID,2
1,4480105,Top New Tower,,"Address_Line1 is null;Addr_Line_1 Not In Standard Format -- Source Property Name: 铜牛国际大厦, Source Complete Address: 北京; 中国",Ready For Review,T4480105,,,,,,15 Guanghua Road,Beijing,,Beijing,100020,China,CN,CHN,156,INVALID,2
1,4480106,Guancheng Name Nathan Road,,"Addr_Line_1 Not In Standard Format -- Source Property Name: Guancheng Name Nathan Road, Source Complete Address: Guangqumenwai Street; Beijing; China|Addr_Line_1 Not In Standard Format -- Source Property Name: 冠城名敦道, Source Complete Address: 广渠门外大街; 北京; 中国",Ready For Review,T4480106,,,,,,Guangqumenwai Street,Beijing,,Beijing,100020,China,CN,CHN,156,INVALID,2
1,4480107,Nanshan Building,,"Addr_Line_1 Not In Standard Format -- Source Property Name: 南山大厦, Source Complete Address: 南海大道1065-1号; 深圳; 中国",Ready For Review,T4480107,,,,,,1065-1 Nanhai Road,Shenzhen,,Guangdong,518000,China,CN,CHN,156,INVALID,2
1,4480108,Kingkey100 Tower B,,"Addr_Line_1 Not In Standard Format -- Source Property Name: Kingkey100 Tower B, Source Complete Address: Shennan East Road; Shenzhen; China|Addr_Line_1 Not In Standard Format -- Source Property Name: 京基一百B座, Source Complete Address: 深南东路; 深圳; 中国",Ready For Review,T4480108,,,,,,Shen Nan East Road,Shenzhen,,Guangdong,518001,China,CN,CHN,156,VALID,4
1,4480109,Dignity Place,,"Addr_Line_1 Not In Standard Format -- Source Property Name: Dignity Place, Source Complete Address: Hongqiao Road; Shanghai; China|Addr_Line_1 Not In Standard Format -- Source Property Name: 银尊国际, Source Complete Address: 虹桥路; 上海; 中国",Ready For Review,T4480109,,,,,,Hongqiao Road,Shanghai,,Shanghai,200051,China,CN,CHN,156,VALID,4
1,4480110,Asia International Hotel,,"Addr_Line_1 Not In Standard Format -- Source Property Name: 亚洲国际大酒店, Source Complete Address: 环市东路326号; 广州; 中国",Ready For Review,T4480110,,,,,,326 Huanshi East Road,Guangzhou,,Guangdong,510060,China,CN,CHN,156,INVALID,3
1,4480111,Cifi Century Square Building 2,,"Addr_Line_1 Not In Standard Format -- Source Property Name: Cifi Century Square Building 2, Source Complete Address: Danba Road; Shanghai; China|Addr_Line_1 Not In Standard Format -- Source Property Name: 旭辉世纪广场, Source Complete Address: 丹巴路; 上海; 中国",Ready For Review,T4480111,,,,,,Danba Road,Shanghai,,Shanghai,200333,China,CN,CHN,156,INVALID,2
1,4480112,The Blue Diamond Business Tower,,"Address_Line1 is null;Addr_Line_1 Not In Standard Format -- Source Property Name: , Source Complete Address: 北京; 中国",Ready For Review,T4480112,,,,,,1 Sheng Gu Zhong Road,Beijing,,Beijing,100010,China,CN,CHN,156,INVALID,2
1,4480113,Capitamall's Minhang Plaza,,"Addr_Line_1 Not In Standard Format -- Source Property Name: Capitamall's Minhang Plaza, Source Complete Address: Xin Song Road/Qi Xin Road; Shanghai; China|Addr_Line_1 Not In Standard Format -- Source Property Name: 凯德龙之梦闵行广场, Source Complete Address: 莘松路（七莘路）; 上海; 中国",Ready For Review,T4480113,,,,,,Xin Song Road/Qi Xin Road,Shanghai,,Shanghai,201100,China,CN,CHN,156,INVALID,2
1,4480114,Zhongke Nano Building,,"Addr_Line_1 Not In Standard Format -- Source Property Name: Zhongke Nano Building, Source Complete Address: Xuefu Road; Shenzhen; China|Address_Line1 is null;Addr_Line_1 Not In Standard Format -- Source Property Name: 中科纳能研发中心, Source Complete Address: 深圳; 中国",Ready For Review,T4480114,,,,,,Xuefu Road,Shenzhen,,Guangdong,518000,China,CN,CHN,156,INVALID,2
1,4480115,Lotus Center Zhangjiang,,"Addr_Line_1 Not In Standard Format -- Source Property Name: Lotus Center Zhangjiang, Source Complete Address: Jinke Road; Shanghai; China|Addr_Line_1 Not In Standard Format -- Source Property Name: 莲花广场, Source Complete Address: 金科路; 上海; 中国",Ready For Review,T4480115,,,,,,Jinke Road,Shanghai,,Shanghai,200120,China,CN,CHN,156,INVALID,2
1,4480116,Mapletree Business City Tower D,,"Address_Line1 contains ""and"";Addr_Line_1 Not In Standard Format -- Source Property Name: Mapletree Business City Tower D, Source Complete Address: Qixin Road and Gudai Road; Shanghai; China|Addr_Line_1 Not In Standard Format -- Source Property Name: 丰树商业城D座, Source Complete Address: 七莘路/顾戴路; 上海; 中国",Ready For Review,T4480116,,,,,,Qixin Road And Gudai Road,Shanghai,,Shanghai,201100,China,CN,CHN,156,INVALID,2
1,4480117,Zhongguancun Financial Center,,"Addr_Line_1 Not In Standard Format -- Source Property Name: Zhongguancun Financial Center, Source Complete Address: 1 Nanjie of Haidian Town; Beijing; China|Addr_Line_1 Not In Standard Format -- Source Property Name: 中关村金融中心, Source Complete Address: 海淀镇南街1; 北京; 中国",Ready For Review,T4480117,,,,,,Haidian Town,Beijing,,Beijing,100089,China,CN,CHN,156,INVALID,2
1,4480118,Hanwei International Plaza Phase II,,"Address_Line1 is null;Addr_Line_1 Not In Standard Format -- Source Property Name: Hanwei International Plaza Phase II, Source Complete Address: test; Beijing; China|Address_Line1 is null;Addr_Line_1 Not In Standard Format -- Source Property Name: 汉威国际广场二期, Source Complete Address: 北京; 中国",Ready For Review,T4480118,,,,,,,Beijing,,Beijing,102200,China,CN,CHN,156,INVALID,2
1,4480119,China Overseas Building Tower B,,"Addr_Line_1 Not In Standard Format -- Source Property Name: China Overseas Building Tower B, Source Complete Address: Shijingshan Road; Beijing; China|Addr_Line_1 Not In Standard Format -- Source Property Name: 北京中海大厦B座, Source Complete Address: 石景山路; 北京; 中国",Ready For Review,T4480119,,,,,,Shijingshan Road,Beijing,,Beijing,100043,China,CN,CHN,156,INVALID,2
1,4480120,Century Grand Metropolis,,"Addr_Line_1 Not In Standard Format -- Source Property Name: Century Grand Metropolis, Source Complete Address: Century Avenue; Shanghai; China|Addr_Line_1 Not In Standard Format -- Source Property Name: 世纪大都会, Source Complete Address: 世纪大道; 上海; 中国",Ready For Review,T4480120,,,,,,Century Avenue,Shanghai,,Shanghai,200120,China,CN,CHN,156,INVALID,2
1,4480121,Minsheng Financial Building,,"Address_Line1 contains ""and"";Addr_Line_1 Not In Standard Format -- Source Property Name: Minsheng Financial Building, Source Complete Address: Intersection of Fuzhong San Road and Haitian Road; Shenzhen; China|Addr_Line_1 Not In Standard Format -- Source Property Name: 民生金融大厦, Source Complete Address: 福中三路与海田路交汇处; 深圳; 中国",Ready For Review,T4480121,,,,,,Intersection of Fuzhong San Road And Haitian Road,Shenzhen,,Guangdong,518000,China,CN,CHN,156,INVALID,2
1,4480122,Zhongjian Fortune International Center,,"Addr_Line_1 Not In Standard Format -- Source Property Name: Zhongjian Fortune International Center, Source Complete Address: Olympic Center South Area 3; Beijing; China|Addr_Line_1 Not In Standard Format -- Source Property Name: 中建财富国际中心, Source Complete Address: 奥体南区三号地; 北京; 中国",Ready For Review,T4480122,,,,,,Olympic Centre,Beijing,,Beijing,100020,China,CN,CHN,156,VALID,4
